ID,REGION,SUBREGION,COUNTRY,LOCATION,LAT,LON,REEF_SYSTEM,REEF_TYPE,REEF_NAME,WATER_DEPTH,ISLAND_NAME,PROTECTED,TOURISM,COUNTRY_CODE
6175,Australia,Australia and Papua New Guinea,Australia,Queensland,-20.43333,148.85,Great Barrier Reef,,Calf Island Reef,,,1,0,AUS
6176,Australia,Australia and Papua New Guinea,Australia,Queensland,-20.5,148.93333,Great Barrier Reef,,Long Shoal,,,1,0,AUS
6177,Australia,Australia and Papua New Guinea,Australia,Queensland,-20.50833,148.81667,Great Barrier Reef,,Defiance Island Reef,,,1,0,AUS
6178,Australia,Australia and Papua New Guinea,Australia,Queensland,-20.51667,148.8,Great Barrier Reef,,Defiance Reefs,,,1,0,AUS
6179,Australia,Australia and Papua New Guinea,Australia,Queensland,-20.53333,148.95,Great Barrier Reef,,Ripple Rocks Reef,,,1,0,AUS
6180,Australia,Australia and Papua New Guinea,Australia,Queensland,-20.54167,148.925,Great Barrier Reef,,Cape Rock Reef,,,1,0,AUS
6181,Australia,Australia and Papua New Guinea,Australia,Queensland,-20.58333,148.85833,Great Barrier Reef,,North Repulse Island Reef,,,1,0,AUS
6182,Australia,Australia and Papua New Guinea,Australia,Queensland,-20.6,148.875,Great Barrier Reef,,East Repulse Island Reef,,,1,0,AUS
6183,Australia,Australia and Papua New Guinea,Australia,Queensland,-20.61667,148.875,Great Barrier Reef,,South Repulse Island Reef,,,1,0,AUS
6184,Australia,Australia and Papua New Guinea,Australia,Queensland,-20.675,148.75833,Great Barrier Reef,,Gould Island Reef,,,1,0,AUS
6185,Australia,Australia and Papua New Guinea,Australia,Queensland,-20.69167,148.75833,Great Barrier Reef,,Midge Island Reef,,,1,0,AUS
6186,Australia,Australia and Papua New Guinea,Australia,Queensland,-20.78333,148.85,Great Barrier Reef,,Cave Island Reef,,,1,0,AUS
6187,Australia,Australia and Papua New Guinea,Australia,Queensland,-20.79167,148.85,Great Barrier Reef,,Pigeon Island Reef,,,1,0,AUS
6188,Australia,Australia and Papua New Guinea,Australia,Queensland,-20.79167,148.875,Great Barrier Reef,,High Islands Reef A ( Reef 20220 ),,,1,0,AUS
6189,Australia,Australia and Papua New Guinea,Australia,Queensland,-20.80833,148.875,Great Barrier Reef,,High Islands Reef B ( Reef 202221 ),,,1,0,AUS
6190,Australia,Australia and Papua New Guinea,Australia,Queensland,-20.825,148.84167,Great Barrier Reef,,Carpet Snake Island Reef,,,1,0,AUS
6191,Australia,Australia and Papua New Guinea,Australia,Queensland,-20.825,148.88,Great Barrier Reef,,Low Rock Reef,,,1,0,AUS
6192,Australia,Australia and Papua New Guinea,Australia,Queensland,-20.825,148.9,Great Barrier Reef,,Croaker Rock Reef,,,1,0,AUS
